file,layout_class,sha256,low_ascii_vins,supplemental_gen2_vins,sec_header_0500,sec_header_match,aa50_anywhere,pin_01e3_bcd_plausible
KL RFH 1C4PJMDBXGW294562 MCU XC2268-40 EEPROM 24C32.bin,low_offset_ascii,2c7fcee43822a8fb3b0658965c01c64aab7dc6d34fe2515b13bfc2e8fb5f2111,0x016A:1C4PJMDBXGW294562:DE6E,,53282D36,False,,True
KL RFH 1C4PJMDS6GW133769 MCU XC2268-40.bin,low_offset_ascii,9fac8b34dde4b06e777f6804a0f85ec7605be5b2c9edc567b7bb9bf1c7562dc7,0x016A:1C4PJMDS6GW133769:FCAF,,051A0A4A,False,,True
KL RFH 1C4PJMMB9PD115598 MCU 24C32.bin,low_offset_ascii,099732dbb50f58474cc7a47b269714f3981b2fbe2013f94bd51a8430346fdbab,0x0092:1C4PJMMB9PD115598:ABE6,,3C4850FF,False,,True
MODULO RHF 3C6SRBDT4FG680947 68234886AC ram.bin,low_offset_ascii,0d73b8384ddf5696ea4b4aacb8529dae1f49179b4b70b3272d15986092234d19,0x01EA:3C6SRBDT4FG680947:7937;0x01FD:3C6SRBDT4FG680947:7937,,00000001,False,,False
RAM RHF 24C32 pin 7047 3C7WRAKT8JG249045 ram.bin,low_offset_ascii,5a30b2a37a1ac9d5019dad138571f34aadb4e0a0c55788c8ed6a6a9d88cd400b,0x0040:3C7WRAKT8JG249045:7C98;0x0053:3C7WRAKT8JG249045:7C98,,00000000,False,,True
RFH 24C32 3C63R3CL4NG240706.bin,low_offset_ascii,34c3f842af3ae76fc8c593f9b221a75c46efbcd4780b095fc7b4a5c22e7319db,0x0092:3C63R3CL4NG240706:91CC;0x00A5:3C63R3CL4NG240706:91CC,,00000000,False,,False
RFH 24C32 3C63RRGL6MG528500.bin,low_offset_ascii,26c75353b7e562e4023c54a14867aff23cc266597f09a51a883b8f2de8b8a921,0x0092:3C63RRGL6MG528500:F96D;0x00A5:3C63RRGL6MG528500:F96D,,00000000,False,,False
RFH 24C32 3C6UR5CLXEG12648.bin,low_offset_ascii,c9e52562240c783a6af206f852fb5a9325f880ef309bf9eea94cc86400f3b93b,0x0092:3C6UR5CLXEG126483:B701;0x00A5:3C6UR5CLXEG126483:B701,,00000000,False,,False
RFH 24C32 3C6UR5CLXEG126483.bin,low_offset_ascii,c9e52562240c783a6af206f852fb5a9325f880ef309bf9eea94cc86400f3b93b,0x0092:3C6UR5CLXEG126483:B701;0x00A5:3C6UR5CLXEG126483:B701,,00000000,False,,False
RFH 24C32 3C7WRAKTXLG203140 VIN 2 UPDATE.bin,low_offset_ascii,6cfe2b926c2238f2924f50f2f500f331ab623ac08083f8f49a3990372c153916,0x00A5:3C7WRAKTXLG203140:328B,,00000000,False,,False
RFH 24C32 3C7WRAKTXLG203140.bin,low_offset_ascii,e7f243fd9ca941449a5e4f129929dcd04fc4f5b13799efe99f22cfb3ac126b28,0x0092:3C7WRAKTXLG203140:328B;0x00A5:3C7WRAKTXLG203140:328B,,00000000,False,,False
rfh de cherokee original.BIN,low_offset_ascii,586c94eefa0a92bfd68a5742bffbb7d5bbe3f6d67ed560c7e51bdad4b0e2cb8f,0x016A:1C4PJLCB0FW542067:A830,,3605045F,False,,True
Rfh jeep cherokee 2017.bin,unclassified_or_blank,0c7c9b8374bdfed9eafcf535410aef1c028a554d61adf173c63cdc127a4e9af1,,,FFFFFFFF,False,,False
RFH KL 1C4PJMCXXKD481740  MCU 24C32 - copia.bin,low_offset_ascii,386573dd3716e1212fb4425503222744eb8282a87655441a9b3f8edad43abb61,0x0092:1C4PJMCXXKD481740:7E0E,,36324556,False,,True
RFH Orig 24C32 UPA ram dj.bin,low_offset_ascii,e96d9d2faf298e88c670b05ca83c3fcb89206f193596f1ee4816253032b8d7fd,0x0092:3C63RRGL8MG528191:EB82;0x00A5:3C63R3RL2NG308881:AB94,,00000000,False,,False
RFH RAM 2018  INFINEON LENO.bin,low_offset_ascii,8eca70ee8e3abc95dca53ffd9d8b0eb129ac567b48d94f665d4bf5eb325bde07,0x0040:3C6UR5DL5JG402562:6536;0x0053:3C6UR5DL5JG402562:6536,,00000001,False,,True
RFH RAM 2019 DIESEL INFINEON CHUY CERRAJERO.bin,low_offset_ascii,5f5668b867fe2c2c8be547a500965e3e476ef92d9e009cc7902786fa313fb874,0x0092:3C6UR5FL7LG237033:2B56;0x00A5:3C6UR5FL7LG237033:2B56,,00000000,False,,False
RFH RAM 2019 DIESEL INFINEON ORG.bin,low_offset_ascii,5f5668b867fe2c2c8be547a500965e3e476ef92d9e009cc7902786fa313fb874,0x0092:3C6UR5FL7LG237033:2B56;0x00A5:3C6UR5FL7LG237033:2B56,,00000000,False,,False
RFH RAM 2019 VIN 3C6UR5FL7LG237033 DIESEL 24C32 CHUY CERRAJERO.bin,low_offset_ascii,5f5668b867fe2c2c8be547a500965e3e476ef92d9e009cc7902786fa313fb874,0x0092:3C6UR5FL7LG237033:2B56;0x00A5:3C6UR5FL7LG237033:2B56,,00000000,False,,False
RFH ram diesel beto morales_XC2265N-40.bin,low_offset_ascii,34c3f842af3ae76fc8c593f9b221a75c46efbcd4780b095fc7b4a5c22e7319db,0x0092:3C63R3CL4NG240706:91CC;0x00A5:3C63R3CL4NG240706:91CC,,00000000,False,,False
rfh.bin,low_offset_ascii,dda8e9640b96cd982ed4921d9ceb34f13fb2ced965b007b25b0f48b48827f576,0x016A:1C4PJMCS5FW675350:CA6B,,280E124C,False,,True
RFH_TRW_GQ4_55T_Virgen.bin,unclassified_or_blank,987afebfce64650ef57e70e9ca796335eaa669a9aed2577befa6ab66ff226446,,,00000000,False,,False
Untited1.bin,low_offset_ascii,ca64a501efb67cbe0ca218bc1bd94a6d29699754dd3f2108aef99cb1c9e76c87,0x0092:1C4PJLDB2KD143844:5876,,595907FF,False,,True
